Type_annonce,Nombre_pieces,Prix,Adresse,Image_url
Location,5,1500000,Ouakam,https://images.coinafrique.com/thumb_5367768_uploaded_image1_1749552946.jpg
Vente,8,300000000,Dieuppeul-Derklé,https://images.coinafrique.com/thumb_5341289_uploaded_image1_1747956790.jpg
location,7,1400000,Mariste,https://images.coinafrique.com/thumb_5330272_uploaded_image1_1747343730.jpg
Vente,3,200,Dakar,https://images.coinafrique.com/thumb_5366820_uploaded_image1_1749490163.jpg
Vente,2,22500000,Rufisque,https://images.coinafrique.com/thumb_5366659_uploaded_image1_1749482232.jpg
Vente,Non précisé,Prixsurdemande,Sicap Liberté,https://images.coinafrique.com/thumb_5323717_uploaded_image1_1747051907.jpg
Vente,6,25000000,Mamelles,https://images.coinafrique.com/thumb_5364859_uploaded_image1_1749368842.jpg
Vente,6,45000000,Dakar,https://images.coinafrique.com/thumb_5364644_uploaded_image1_1749333672.jpg
Vente,8,950,Almadies,https://images.coinafrique.com/thumb_5322428_uploaded_image1_1746969315.jpg
Vente,11,40000000,Keur Massar,https://images.coinafrique.com/thumb_5322479_uploaded_image1_1746973547.jpg
Vente,3,45000000,Keur Massar,https://images.coinafrique.com/thumb_5322478_uploaded_image1_1746973362.jpg
Vente,16,Prixsurdemande,Dakar,https://images.coinafrique.com/thumb_5363272_uploaded_image1_1749228437.jpg
Vente,7,40000000,Saly,https://images.coinafrique.com/thumb_5348641_uploaded_image1_1748384584.jpg
Vente,Non précisé,95000000,Saly,https://images.coinafrique.com/thumb_5320323_uploaded_image1_1746814926.jpg
Vente,4,46000000,Mariste,https://images.coinafrique.com/thumb_5362293_uploaded_image1_1749149526.jpg
Location,7,1500000,Sacré-Coeur,https://images.coinafrique.com/thumb_5320109_uploaded_image1_1746808359.jpg
Location,8,1500000,Dakar,https://images.coinafrique.com/thumb_5323746_uploaded_image1_1747052605.jpg
Vente,6,95000000,Dakar,https://images.coinafrique.com/thumb_5323137_uploaded_image1_1747014871.jpg
Vente,14,200000000,Rufisque,https://images.coinafrique.com/thumb_5361211_uploaded_image1_1749089000.jpg
Location,7,1500000,Ouakam,https://images.coinafrique.com/thumb_5360834_uploaded_image1_1749065956.jpg
Vente,8,45000000,Dakar,https://images.coinafrique.com/thumb_5360247_uploaded_image1_1749045570.jpg
Vente,6,300000000,Dakar,https://images.coinafrique.com/thumb_5350967_uploaded_image1_1748525755.jpg
Vente,3,95000000,Dakar,https://images.coinafrique.com/thumb_5332737_uploaded_image1_1747484805.jpg
Vente,5,4100000,Dakar,https://images.coinafrique.com/thumb_5332742_uploaded_image1_1747485036.jpg
Vente,5,82000000,Rufisque,https://images.coinafrique.com/thumb_5359663_uploaded_image1_1749023368.jpg
Location,9,1500000,Dakar,https://images.coinafrique.com/thumb_5354375_uploaded_image1_1748761548.jpg
Vente,5,56499500,Thies,https://images.coinafrique.com/thumb_5313649_uploaded_image1_1746497532.jpg
Vente,Non précisé,500000000,Mbour,https://images.coinafrique.com/thumb_5359356_uploaded_image1_1748993589.jpg
Vente,8,350000000,Dakar,https://images.coinafrique.com/thumb_5350055_uploaded_image1_1748460644.jpg
Vente,5,500000000,Saly,https://images.coinafrique.com/thumb_5358858_uploaded_image1_1748970684.jpg
Vente,10,400000000,Saly,https://images.coinafrique.com/thumb_5358835_uploaded_image1_1748969887.jpg
Vente,8,190000000,Dakar,https://images.coinafrique.com/thumb_5325943_uploaded_image1_1747148538.jpg
Vente,Non précisé,180000000,Dakar,https://images.coinafrique.com/thumb_5358597_uploaded_image1_1748960134.jpg
Vente,Non précisé,420000000,Sacré-Coeur,https://images.coinafrique.com/thumb_5331148_uploaded_image1_1747397219.jpg
Vente,3,40000000,Dakar,https://images.coinafrique.com/thumb_5353257_uploaded_image1_1748682277.jpg
Vente,Non précisé,315000000,Dakar,https://images.coinafrique.com/thumb_5339526_uploaded_image1_1747867336.jpg
Vente,5,130000000,Saly,https://images.coinafrique.com/thumb_5357374_uploaded_image1_1748903255.jpg
Vente,3,45000000,Dakar,https://images.coinafrique.com/thumb_5320574_uploaded_image1_1746826240.jpg
Location,5,1000000,Almadies,https://images.coinafrique.com/thumb_5357324_uploaded_image1_1748901717.jpg
Vente,4,309000000,Grand Dakar,https://images.coinafrique.com/thumb_5357317_uploaded_image1_1748901612.jpg
Location,6,1500000,Mamelles,https://images.coinafrique.com/thumb_5357207_uploaded_image1_1748897417.jpg
Location,4,800000,Yoff,https://images.coinafrique.com/thumb_5310981_uploaded_image1_1746353297.jpg
Location,6,3000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5339049_uploaded_image1_1747847655.jpg
Location,4,750000,Sipres,https://images.coinafrique.com/thumb_5356774_uploaded_image1_1748879998.jpg
Vente,7,320000000,Sicap foire,https://images.coinafrique.com/thumb_5324148_uploaded_image1_1747062937.jpg
Vente,5,Prixsurdemande,Keur Massar,https://images.coinafrique.com/thumb_5355381_uploaded_image1_1748811329.jpg
Location,5,1000000,Yoff,https://images.coinafrique.com/thumb_5310212_uploaded_image1_1746288895.jpg
Vente,7,910000000,Point E,https://images.coinafrique.com/thumb_5318309_uploaded_image1_1746722719.jpg
Location,3,200000,Sicap Liberté,https://images.coinafrique.com/thumb_5354601_uploaded_image1_1748774089.jpg
Location,6,650000,Ngor,https://images.coinafrique.com/thumb_5354476_uploaded_image1_1748766491.jpg
Vente,10,200000000,Ouest Foire,https://images.coinafrique.com/thumb_5353641_uploaded_image1_1748704640.jpg
Vente,6,100000000,Dakar,https://images.coinafrique.com/thumb_5310664_uploaded_image1_1746316588.jpg
Vente,3,55000000,Dakar,https://images.coinafrique.com/thumb_5310640_uploaded_image1_1746314654.jpg
Location,14,3000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5308225_uploaded_image1_1746188787.jpg
Location,6,3000000,Almadies,https://images.coinafrique.com/thumb_5305559_uploaded_image1_1746041077.jpg
Vente,9,300000000,Dakar,https://images.coinafrique.com/thumb_5303979_uploaded_image1_1745953253.jpg
Vente,14,8500000,Guediawaye,https://images.coinafrique.com/thumb_5346912_uploaded_image1_1748290523.jpg
Vente,5,154900000,Saly,https://images.coinafrique.com/thumb_5346040_uploaded_image1_1748261842.jpg
Vente,6,99000000,Mbao,https://images.coinafrique.com/thumb_5345759_uploaded_image1_1748253405.jpg
Vente,3,150000000,Mbour,https://images.coinafrique.com/thumb_5345357_uploaded_image1_1748216487.jpg
Location,Non précisé,1000000,Almadies,https://images.coinafrique.com/thumb_5305570_uploaded_image1_1746041634.jpg
Vente,3,57000000,Dakar,https://images.coinafrique.com/thumb_5300802_uploaded_image1_1745773943.jpg
Vente,Non précisé,29000000,Keur Massar,https://images.coinafrique.com/thumb_5299946_uploaded_image1_1745694424.jpg
Vente,Non précisé,55000000,Almadies 2,https://images.coinafrique.com/thumb_5299945_uploaded_image1_1745694296.jpg
Location,5,2700000,Almadies,https://images.coinafrique.com/thumb_5302005_uploaded_image1_1745853498.jpg
Vente,8,300000000,Mamelles,https://images.coinafrique.com/thumb_5341296_uploaded_image1_1747957182.jpg
Vente,5,100000,Parcelle Assainies,https://images.coinafrique.com/thumb_5341259_uploaded_image1_1747953916.jpg
Vente,9,155000000,Sipres,https://images.coinafrique.com/thumb_5341021_uploaded_image1_1747942019.jpg
Vente,4,Prixsurdemande,Dakar,https://images.coinafrique.com/thumb_5340804_uploaded_image1_1747931427.jpg
Location,5,850000,Mamelles,https://images.coinafrique.com/thumb_5294303_uploaded_image1_1745410329.jpg
Vente,4,45000000,Thies,https://images.coinafrique.com/thumb_5308326_uploaded_image1_1746192681.jpg
Vente,4,65000000,Parcelle Assainies,https://images.coinafrique.com/thumb_5340332_uploaded_image1_1747914129.jpg
Vente,3,30000000,Thies,https://images.coinafrique.com/thumb_5339887_uploaded_image1_1747897081.jpg
Location,Non précisé,1200000,Mamelles,https://images.coinafrique.com/thumb_5339464_uploaded_image1_1747865701.jpg
Vente,1,90000000,Parcelle Assainies,https://images.coinafrique.com/thumb_5339299_uploaded_image1_1747858669.jpg
Location,5,1000000,Ngor,https://images.coinafrique.com/thumb_5293113_uploaded_image1_1745343034.jpg
Vente,7,85000000,Niaga,https://images.coinafrique.com/thumb_5338274_uploaded_image1_1747824089.jpg
Location,4,1200000,Almadies,https://images.coinafrique.com/thumb_5298709_uploaded_image1_1745613758.jpg
Vente,2,22500000,Rufisque,https://images.coinafrique.com/thumb_5337498_uploaded_image2_1747770535.jpeg
Location,8,900000,Yoff,https://images.coinafrique.com/thumb_5290422_uploaded_image1_1745174423.jpg
Vente,12,Prixsurdemande,Almadies,https://images.coinafrique.com/thumb_5294238_uploaded_image1_1745408124.jpg
Vente,7,155000000,Mbour,https://images.coinafrique.com/thumb_5336825_uploaded_image1_1747741692.jpg
Location,Non précisé,750000,Mariste,https://images.coinafrique.com/thumb_5312491_uploaded_image1_1746443064.52.jpeg
Vente,Non précisé,500000000,Mamelles,https://images.coinafrique.com/thumb_5312485_uploaded_image1_1746442834.94.jpeg
Location,6,275000,Sicap Liberté,https://images.coinafrique.com/thumb_5336065_uploaded_image1_1747685749.jpg
Location,4,1200000,Almadies,https://images.coinafrique.com/thumb_5296809_uploaded_image1_1745516625.jpg
Vente,7,500000000,Mamelles,https://images.coinafrique.com/thumb_5335806_uploaded_image1_1747674656.jpg
Vente,4,45000000,Keur Massar,https://images.coinafrique.com/thumb_5335587_uploaded_image1_1747666759.jpg
Location,6,2200000,Almadies,https://images.coinafrique.com/thumb_5294689_uploaded_image1_1745420427.jpg
Vente,5,Prixsurdemande,Almadies,https://images.coinafrique.com/thumb_5301123_uploaded_image1_1745793444.jpg
Location,4,1200000,Almadies,https://images.coinafrique.com/thumb_5293177_uploaded_image1_1745345341.jpg
Vente,12,29000000,Pikine,https://images.coinafrique.com/thumb_5332763_uploaded_image1_1747485568.jpg
Location,4,600000,Mbao,https://images.coinafrique.com/thumb_5332630_uploaded_image1_1747480681.jpg
Location,5,900000,Dakar,https://images.coinafrique.com/thumb_5330232_uploaded_image1_1747342616.jpg
Location,5,700000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5330205_uploaded_image1_1747341813.jpg
Vente,7,600000000,Ouest Foire,https://images.coinafrique.com/thumb_5330187_uploaded_image1_1747341078.jpg
Location,14,3000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5330156_uploaded_image1_1747339340.jpg
Location,5,1300000,Almadies,https://images.coinafrique.com/thumb_5326221_uploaded_image1_1747161530.jpg
Location,7,1000000,Dakar,https://images.coinafrique.com/thumb_5326199_uploaded_image1_1747160381.jpg
Vente,Non précisé,600000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5327973_uploaded_image1_1747244936.jpg
Location,6,500000,Sipres,https://images.coinafrique.com/thumb_5331785_uploaded_image1_1747417113.jpg
Vente,Non précisé,900000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5327929_uploaded_image1_1747243685.jpg
Location,6,2500000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5327922_uploaded_image1_1747243323.jpg
Location,4,600000,Yoff,https://images.coinafrique.com/thumb_5331775_uploaded_image1_1747416617.jpg
Location,6,600000,Damel,https://images.coinafrique.com/thumb_5331766_uploaded_image1_1747416249.jpg
Location,5,1500000,Almadies,https://images.coinafrique.com/thumb_5286259_uploaded_image1_1744895614.jpg
Location,5,2500000,Point E,https://images.coinafrique.com/thumb_5331379_uploaded_image1_1747402904.jpg
Vente,3,48000000,Almadies 2,https://images.coinafrique.com/thumb_5330514_uploaded_image1_1747364926.jpg
Vente,6,325000000,Sacré-Coeur,https://images.coinafrique.com/thumb_5288270_uploaded_image1_1744994174.jpg
Vente,8,Prixsurdemande,Guediawaye,https://images.coinafrique.com/thumb_5329551_uploaded_image1_1747318393.jpg
Vente,4,30000000,Thies,https://images.coinafrique.com/thumb_5328667_uploaded_image1_1747274465.jpg
Location,6,900000,Yoff,https://images.coinafrique.com/thumb_5284685_uploaded_image1_1744811615.jpg
Location,6,2000000,Sacré-Coeur,https://images.coinafrique.com/thumb_5324874_uploaded_image1_1747091772.jpg
Vente,3,Prixsurdemande,Saly,https://images.coinafrique.com/thumb_5324693_uploaded_image1_1747082734.jpg
Vente,6,75000000,Mbao,https://images.coinafrique.com/thumb_5324378_uploaded_image1_1747070562.jpg
Vente,3,175000000,Rufisque,https://images.coinafrique.com/thumb_5323131_uploaded_image1_1747010939.jpg
Location,4,300000,Mbao,https://images.coinafrique.com/thumb_5321023_uploaded_image1_1746868951.jpg
Vente,4,30000000,Dakar,https://images.coinafrique.com/thumb_5320501_uploaded_image1_1746822888.jpg
Vente,6,85000000,Rufisque,https://images.coinafrique.com/thumb_5320334_uploaded_image1_1746815473.jpg
Location,8,1000000,Yoff,https://images.coinafrique.com/thumb_5278735_uploaded_image1_1744471236.jpg
Location,3,200000,Sicap Liberté,https://images.coinafrique.com/thumb_5319708_uploaded_image1_1746793806.jpg
Location,4,400000,Parcelle Assainies,https://images.coinafrique.com/thumb_5318957_uploaded_image1_1746750572.jpg
Vente,10,100000000,Keur Massar,https://images.coinafrique.com/thumb_5318185_uploaded_image1_1746719846.jpg
Vente,8,950000000,Diamniadio,https://images.coinafrique.com/thumb_5318141_uploaded_image1_1746718161.jpg
Vente,4,25000000,Thies,https://images.coinafrique.com/thumb_5317470_uploaded_image1_1746700683.jpg
Vente,4,85000000,Ouakam,https://images.coinafrique.com/thumb_5317155_uploaded_image1_1746687976.jpg
location,9,1500000,Mamelles,https://images.coinafrique.com/thumb_5271589_uploaded_image1_1744108042.jpg
Location,6,1000000,Mamelles,https://images.coinafrique.com/thumb_5271603_uploaded_image1_1744108232.jpg
Location,6,1500000,Ngor,https://images.coinafrique.com/thumb_5271583_uploaded_image1_1744107871.jpg
Vente,5,88000000,Dakar,https://images.coinafrique.com/thumb_5301320_uploaded_image1_1745825525.jpg
Location,6,600000,Dakar,https://images.coinafrique.com/thumb_5274788_uploaded_image1_1744244304.jpg
Location,6,800000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5314274_uploaded_image1_1746532070.jpg
